book_id,source,title,author,publisher,language_group,main_category,sub_category,price,original_price,discount_rate,rating,review_count,sold_count,publish_year,page_count,url
278856619,tiki,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,Nguyễn Nhật Ánh,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn học,Tiểu Thuyết Phương Đông,86000.0,115000.0,25.0,5.0,60,803,,240,https://tiki.vn/sach-co-be-hang-xom-va-bon-vien-keo-p278856619.html?spid=278856627
278967562,tiki,Monster - Deluxe Edition – [Chọn Tập Lẻ,Naoki Urasawa,Nhà Xuất Bản Kim Đồng,Tiếng Việt,Manga - Comic,"Truyện Tranh, Manga, Comic",118750.0,125000.0,5.0,5.0,39,332,,,https://tiki.vn/monster-deluxe-edition-chon-tap-le-p278967562.html?spid=279180361
278997061,tiki,Sách Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi - [Từ Tập 11 - Tập 20] - Chọn Tập Lẻ,Phạm Ngọc Điệp,Nhà Xuất Bản Dân Trí,Tiếng Việt,Thiếu nhi,Tô màu - Luyện chữ,10971.0,16000.0,31.0,5.0,1,190,,20,https://tiki.vn/sach-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-tu-tap-11-tap-20-chon-tap-le-p278997061.html?spid=278997088
279112904,tiki,Thám Tử Lừng Danh Conan - Tập 107,Gosho Aoyama,Nhà Xuất Bản Kim Đồng,Tiếng Việt,Manga - Comic,"Truyện Tranh, Manga, Comic",25000.0,25000.0,0.0,5.0,14,201,,176,https://tiki.vn/tham-tu-lung-danh-conan-tap-107-p279112904.html?spid=279112916
279218500,tiki,Ship of Theseus - NXB Trẻ,Toshiya Higashimoto,Nhà Xuất Bản Trẻ,Tiếng Việt,Manga - Comic,"Truyện Tranh, Manga, Comic",47000.0,50000.0,6.0,5.0,14,139,,192,https://tiki.vn/ship-of-theseus-01-nxb-tre-p279218500.html?spid=279359756
540040,tiki,Sách Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm file MP3),Khương Lệ Bình,Nhà Xuất Bản Tổng Hợp TP.HCM,Tiếng Việt,Sách học ngoại ngữ,Giáo trình Hán ngữ,126000.0,158000.0,20.0,4.8,637,5475,,136,https://tiki.vn/sach-giao-trinh-chuan-hsk-1-bai-tap-kem-file-mp3-p540040.html?spid=262529
365745,tiki,Sách Flipped,Wendelin Van Draanen,Penguin Random House,Tiếng Anh,Văn học,Romance,268600.0,291600.0,8.0,4.8,56,253,,224,https://tiki.vn/sach-flipped-p365745.html?spid=55287219
633125,tiki,Sách Lĩnh Nam Chích Quái,Trần Thế Pháp,Nhà Xuất Bản Kim Đồng,Tiếng Việt,Văn học,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,315000.0,350000.0,10.0,0.0,0,2,,256,https://tiki.vn/sach-linh-nam-chich-quai-p633125.html?spid=279334621
997535,tiki,Sách Gọi Em Bằng Tên Anh - Call Me By Your Name,André Aciman,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn học,Tiểu Thuyết Phương Tây,92000.0,115000.0,20.0,4.8,841,9244,,316,https://tiki.vn/sach-goi-em-bang-ten-anh-call-me-by-your-name-p997535.html?spid=1002143
1080002,tiki,Sách Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),J. K. Rowling,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn học,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1374000.0,1750000.0,21.0,4.7,1604,10864,,366,https://tiki.vn/sach-boxset-harry-potter-tieng-viet-tron-bo-7-tap-p1080002.html?spid=1080024
3304875,tiki,Sách Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,Nhà Xuất Bản Hội Nhà Văn,Tiếng Việt,Văn học,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,107030.0,139000.0,23.0,5.0,4885,34942,,358,https://tiki.vn/sach-dieu-ky-dieu-cua-tiem-tap-hoa-namiya-tai-ban-p3304875.html?spid=3304877
4780917,tiki,Sách Người Đua Diều (Tái Bản 2018),Khaled Hosseini,Nhà Xuất Bản Hội Nhà Văn,Tiếng Việt,Văn học,Tiểu Thuyết Phương Đông,99330.0,129000.0,23.0,4.8,2733,23049,,460,https://tiki.vn/sach-nguoi-dua-dieu-tai-ban-2018-p4780917.html?spid=4781791
7369223,tiki,Sách Cho Tôi Xin Một Vé Đi Tuổi Thơ,Nguyễn Nhật Ánh,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn học,Truyện dài,68400.0,90000.0,24.0,4.8,1711,21415,,208,https://tiki.vn/sach-cho-toi-xin-mot-ve-di-tuoi-tho-bia-mem-tai-ban-p7369223.html?spid=7369225
535714,tiki,Sách Hướng Dẫn Tập Luyện Karate Bằng Hình Ảnh (Tái Bản),Sanette Smit,Văn Lang,Tiếng Việt,Thể dục Thể thao - Giải trí,Thể Dục - Thể Thao,55000.0,55000.0,0.0,0.0,0,2,,144,https://tiki.vn/sach-huong-dan-tap-luyen-karate-bang-hinh-anh-tai-ban-p535714.html?spid=274747005
361910,tiki,Sách 90 Món Ăn Ngon Chế Biến Từ Thịt Bò,Quỳnh Chi,Nhà Xuất Bản Văn Hoá Thông Tin,Tiếng Việt,Gia đình - Đời sống,Sách Nấu ăn,32000.0,32000.0,0.0,5.0,1,5,,132,https://tiki.vn/sach-90-mon-an-ngon-che-bien-tu-thit-bo-p361910.html?spid=158446111
455418,tiki,Sách Bí Mật Của Con Gái,Nhóm Tác Giả,Nhà Xuất Bản Phụ Nữ Việt Nam,Tiếng Việt,Tâm lý - Kỹ năng sống,Sách Tâm Lý Tuổi Teen,22800.0,30000.0,24.0,4.5,16,667,,32,https://tiki.vn/sach-bi-mat-cua-con-gai-p455418.html?spid=163077
1640055,tiki,Graphics (Tập 3) – Issue #03 – Define The Shapes,Kee Agency,Nhà Xuất Bản Thanh Niên,Tiếng Việt,Tạp chí,Tạp Chí - Catalogue,127000.0,169000.0,25.0,5.0,61,334,,145,https://tiki.vn/graphics-tap-3-issue-03-define-the-shapes-p1640055.html?spid=9880043
23416722,tiki,Sách How The Body Works - Hiểu Hết Về Cơ Thể,Phạm Hằng Nguyên,Nhà Xuất Bản Thế Giới,Tiếng Việt,Y học - Sức khỏe,Sách Y Học Khác,231000.0,300000.0,23.0,4.8,1034,6484,,220,https://tiki.vn/sach-how-the-body-works-hieu-het-ve-co-the-p23416722.html?spid=23416723
17495500,tiki,Sách Tin Học Văn Phòng - Công Thức và Hàm Excel,Vn - Guide,Nhà Xuất Bản Thanh Niên,Tiếng Việt,Công nghệ thông tin,Tin Học Văn Phòng,55000.0,75000.0,27.0,3.0,2,141,,128,https://tiki.vn/sach-tin-hoc-van-phong-cong-thuc-va-ham-excel-p17495500.html?spid=17495501
395125,tiki,Sách Kỹ Thuật Nuôi Tôm Hùm,Nguyễn Thị Hồng,Nhà Xuất Bản Thanh Hoá,Tiếng Việt,Nông - Lâm - Ngư nghiệp,Sách Nông - Lâm - Ngư Nghiệp,37000.0,48000.0,23.0,5.0,1,69,,70,https://tiki.vn/sach-ky-thuat-nuoi-tom-hum-p395125.html?spid=96513
1667307,tiki,Sách Quân Vương – Thuật Cai Trị (Tái Bản),Niccolò Machiavelli,Nhà Xuất Bản Thế Giới,Tiếng Việt,Văn hóa - Xã hội,Kinh tế chính trị,81700.0,109000.0,25.0,4.8,384,4380,,200,https://tiki.vn/sach-quan-vuong-thuat-cai-tri-tai-ban-p1667307.html?spid=1667625
574745,tiki,Sách Ca Trù - Phía Sau Đàn Phách,Unknown,OEM,Tiếng Việt,Văn hóa - Xã hội,Châu Á,49700.0,68000.0,27.0,5.0,8,100,,232,https://tiki.vn/sach-ca-tru-phia-sau-dan-phach-p574745.html?spid=310968
1659975,tiki,Sách Shinzo Abe Và Gia Tộc Tuyệt Đỉnh,Kenya Matsuda,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn hóa - Xã hội,Danh nhân Nước Ngoài,69000.0,95000.0,27.0,4.8,36,550,,280,https://tiki.vn/sach-shinzo-abe-va-gia-toc-tuyet-dinh-p1659975.html?spid=1661657
1661335,tiki,Sách Cẩm Nang Du Lịch Thái Lan,Dorling Kindersley Limited,Công Ty Cổ Phần Văn Hóa Đông A,Tiếng Việt,Văn hóa - Xã hội,Châu Á,211000.0,265000.0,20.0,4.7,45,745,,512,https://tiki.vn/sach-cam-nang-du-lich-thai-lan-p1661335.html?spid=1661351
19884509,tiki,Sách Tâm Lý Người An Nam,Paul Giran,Nhà Xuất Bản Hội Nhà Văn,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,72200.0,90000.0,20.0,4.7,380,5760,,246,https://tiki.vn/sach-tam-ly-nguoi-an-nam-p19884509.html?spid=19884510
53501164,tiki,Sách Hoa Cúc Và Gươm (Tái Bản 2020),Ruth Benedict,Nhà Xuất Bản Hồng Đức,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Nước ngoài,92000.0,128000.0,28.0,5.0,11,120,,416,https://tiki.vn/sach-hoa-cuc-va-guom-tai-ban-2020-p53501164.html?spid=53501165
90480255,tiki,Sách - Lão Tử Đạo Đức kinh - Nguyễn Hiến Lê ( Tuyển Tập Bách Gia Tranh Minh),Nguyễn Hiến Lê,Nhà Xuất Bản Hồng Đức,Tiếng Việt,Văn hóa - Xã hội,Danh nhân Nước Ngoài,136000.0,179000.0,24.0,5.0,76,766,,296,https://tiki.vn/sach-lao-tu-dao-duc-kinh-nguyen-hien-le-tuyen-tap-bach-gia-tranh-minh-p90480255.html?spid=127524852
90480319,tiki,Sách - Trang Tử Nam Hoa kinh - Nguyễn Hiến Lê (Tuyển Tập Bách Gia Tranh Minh),Nguyễn Hiến Lê,Nhà Xuất Bản Hồng Đức,Tiếng Việt,Văn hóa - Xã hội,Danh nhân Nước Ngoài,181000.0,239000.0,24.0,4.8,20,151,,520,https://tiki.vn/sach-trang-tu-nam-hoa-kinh-nguyen-hien-le-tuyen-tap-bach-gia-tranh-minh-p90480319.html?spid=127524943
147920905,tiki,Sách Đường Mây Qua Xứ Tuyết (Tái Bản),Lama Anagarika Govinda,Nhà Xuất Bản Thế Giới,Tiếng Việt,Văn hóa - Xã hội,Châu Á,90860.0,118000.0,23.0,5.0,135,1185,,320,https://tiki.vn/sach-duong-may-qua-xu-tuyet-tai-ban-p147920905.html?spid=147920906
160488878,tiki,Sách Việt Nam Dọc Miền Du Ký - Tập 2,Lê Rin,Nhà Xuất Bản Lao Động,Tiếng Việt,Văn hóa - Xã hội,Châu Á,168700.0,219000.0,23.0,5.0,63,509,,168,https://tiki.vn/sach-viet-nam-doc-mien-du-ky-tap-2-p160488878.html?spid=160488879
162100212,tiki,Sách Gia Lễ Chỉ Nam (In Theo Bản In Lần Thứ 3 Của Nhật Nam Thư Quán Năm 1930),Nguyễn Tử Siêu,Nhà Xuất Bản Dân Trí,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Nước ngoài,73400.0,100000.0,27.0,4.8,8,65,,244,https://tiki.vn/sach-gia-le-chi-nam-in-theo-ban-in-lan-thu-3-cua-nhat-nam-thu-quan-nam-1930-p162100212.html?spid=162100213
179063939,tiki,Sách Vietnam Dọc Miền Du Ký - Tập 1 (Tái Bản),Lê Rin,Nhà Xuất Bản Lao Động,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,164500.0,219000.0,25.0,4.8,11,164,,165,https://tiki.vn/sach-vietnam-doc-mien-du-ky-tap-1-tai-ban-p179063939.html?spid=179063944
197920811,tiki,Sách Những Nhà Tư Tưởng Lớn - Schopenhauer Trong 60 Phút,Walther Ziegler,Nhà Xuất Bản Hồng Đức,Tiếng Việt,Văn hóa - Xã hội,Danh nhân Nước Ngoài,66000.0,99000.0,33.0,5.0,13,121,,192,https://tiki.vn/sach-nhung-nha-tu-tuong-lon-schopenhauer-trong-60-phut-p197920811.html?spid=197920814
203093928,tiki,Sách Việt Nam Phong Tục (Bìa Mềm) - Tái Bản,Phan Kế Bính,Nhà Xuất Bản Văn Học,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,72100.0,105000.0,31.0,5.0,14,214,,440,https://tiki.vn/sach-viet-nam-phong-tuc-bia-mem-tai-ban-p203093928.html?spid=203093929
212213018,tiki,Sách Thọ mai gia lễ (phong tục dân gian về tục cưới hỏi ma chay của người Việt Nam),Đức Thành,Nhà Xuất Bản Hồng Đức,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,37800.0,55000.0,31.0,4.7,18,235,,184,https://tiki.vn/sach-tho-mai-gia-le-phong-tuc-dan-gian-ve-tuc-cuoi-hoi-ma-chay-cua-nguoi-viet-nam-p212213018.html?spid=212213019
252044624,tiki,Sách Nếp Cũ - Làng Xóm Việt Nam,Toan Ánh,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,159000.0,205000.0,22.0,5.0,5,109,,408,https://tiki.vn/sach-nep-cu-lang-xom-viet-nam-p252044624.html?spid=252044625
252044626,tiki,Sách Nếp Cũ - Hội Hè Đình Đám,Toan Ánh,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,231000.0,290000.0,20.0,5.0,4,94,,640,https://tiki.vn/sach-nep-cu-hoi-he-dinh-dam-p252044626.html?spid=252044627
271162834,tiki,Sách Sơn Nam - Đi và ghi nhớ,Sơn Nam,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn hóa - Xã hội,Châu Á,112000.0,130000.0,14.0,5.0,4,35,,340,https://tiki.vn/sach-son-nam-di-va-ghi-nho-p271162834.html?spid=271162835
273596524,tiki,Sách Địa lý hành chính và tập quán người Việt,Nguyễn Văn Huyên,Nhà Xuất Bản Hội Nhà Văn,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,123200.0,160000.0,23.0,5.0,9,80,,304,https://tiki.vn/sach-dia-ly-hanh-chinh-va-tap-quan-nguoi-viet-p273596524.html?spid=273596528
274160597,tiki,Sách Chuyện đời xưa (Trương Vĩnh Ký),Trương Vĩnh Ký,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán,87000.0,105000.0,17.0,5.0,5,89,,136,https://tiki.vn/sach-chuyen-doi-xua-truong-vinh-ky-p274160597.html?spid=274160599
274537510,tiki,Sách Who? Chuyện Kể Về Danh Nhân Thế Giới - Mark Twain,Team-Sinhwa,Nhà Xuất Bản Kim Đồng,Tiếng Việt,Văn hóa - Xã hội,Danh nhân Nước Ngoài,58000.0,60000.0,3.0,5.0,1,44,,184,https://tiki.vn/sach-who-chuyen-ke-ve-danh-nhan-the-gioi-mark-twain-p274537510.html?spid=274537513
274883151,tiki,Sách Phở Và Các Món Nước (Tái Bản),Bùi Thị Sương,Nhà Xuất Bản Phụ Nữ Việt Nam,Tiếng Việt,Văn hóa - Xã hội,Châu Á,119000.0,129000.0,8.0,5.0,2,20,,100,https://tiki.vn/sach-pho-va-cac-mon-nuoc-tai-ban-p274883151.html?spid=274883152
276289480,tiki,"Sách Nếp cũ - Tiết tháo một thời - Tinh thần trọng nghĩa phương Đông - Múa thiết lĩnh, ném bút chì - Nho sĩ đô vật",Toan Ánh,Nhà Xuất Bản Trẻ,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,226000.0,280000.0,19.0,5.0,4,56,,596,https://tiki.vn/sach-nep-cu-tiet-thao-mot-thoi-tinh-than-trong-nghia-phuong-dong-mua-thiet-linh-nem-but-chi-nho-si-do-vat-p276289480.html?spid=276289481
276922052,tiki,Sách Tết 3 Miền - The Stories of Vietnamese New Year,Lê Rin,Nhà Xuất Bản Công Thương,Tiếng Việt,Văn hóa - Xã hội,Sách Phong Tục - Tập Quán Việt Nam,183000.0,269000.0,32.0,5.0,2,54,,168,https://tiki.vn/sach-tet-3-mien-the-stories-of-vietnamese-new-year-p276922052.html?spid=276922053
