publisher,count
Nhà Xuất Bản Dân Trí,559
Nhà Xuất Bản Thế Giới,520
Nhà Xuất Bản Trẻ,466
Nhà Xuất Bản Giáo Dục Việt Nam,428
Nhà Xuất Bản Hồng Đức,357
Nhà Xuất Bản Phụ Nữ Việt Nam,313
Nhà Xuất Bản Thanh Niên,298
Nhà Xuất Bản Tổng Hợp TP.HCM,277
Nhiều Nhà Xuất Bản,269
Nhà Xuất Bản Kim Đồng,266
Nhà Xuất Bản Hà Nội,260
Nhà Xuất Bản Lao Động,232
Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,218
Nhà Xuất Bản Văn Học,214
Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,192
Cambridge University Press,166
HarperCollins,163
Nhà Xuất Bản Công Thương,158
Nhà Xuất Bản Hội Nhà Văn,128
Penguin,113
Nhà Xuất Bản Tri Thức,106
Báo Tuổi trẻ,102
OEM,98
Oxford University Press,98
Nhà Xuất Bản Nông Nghiệp,96
Nhà Xuất Bản Thông Tin Và Truyền Thông,95
Penguin Books,94
Tuttle Publishing,86
Nhà Xuất Bản Đà Nẵng,82
Nhà Xuất Bản Thể Thao Và Du Lịch,78
Unknown,78
Bloomsbury,75
Nhà Xuất Bản Đại Học Sư Phạm,74
Penguin Random House,64
Công ty TNHH Không Gian Sống Media,61
Simon & Schuster,60
Nhà Xuất Bản Thanh Hoá,56
Wordsworth Editions Ltd,52
VanLangBooks,51
Nhà Xuất Bản Đại Học Huế,50
Nhà Xuất Bản Đại Học Sư Phạm TP.HCM,50
Saigon Times Group,49
Nhà Xuất Bản Đồng Nai,48
Independent Publishers Group,43
Nikkei,35
Nhà Xuất Bản Khoa Học Xã Hội,32
ELI Publishing,32
Hachette,31
Nhà Xuất Bản Thông Tấn,30
Nhà Xuất Bản Mỹ Thuật,30
Nhà Xuất Bản Kinh Tế - Tài Chính,27
Scholastic,27
William Collins,26
Shueisha,26
Chiltern Publishing,25
For Dummies,25
Macmillan Education,24
Nhà Xuất Bản Văn Hoá Thông Tin,23
Taschen,23
Báo Sinh Viên VN - Hoa Học Trò,22
Nhà Xuất Bản Phương Đông,22
Công Ty TNHH Văn Hóa Việt Thư,21
Icon Books Ltd,19
Nhà Xuất Bản Y Học,19
Báo Tài nguyên và Môi trường,17
Harper Collins- USBORNE,17
Nhà Xuất Bản Văn Hóa - Văn Nghệ,16
Portfolio,16
Vintage,16
Grand Central Publishing,15
MacMillan,15
Nhà Xuất Bản Quân Đội Nhân Dân,15
Harper Perennial,15
Harper Business,15
Văn Lang,14
Adams Media,14
Không có,14
Bloomsbury Childrens - NXB Trẻ,14
"Little, Brown Book Group",14
PublicAffairs,14
Alma Classics,14
Puffin,14
Make Believe Ideas,14
講談社,14
Wiley,14
e-future,14
Random House,13
Cengage Learning,13
DK Publishing,13
Kodansha,13
Pan Macmillan,13
DC Comics,13
Express Publishing,12
Macmillan,12
William Morrow,12
Oxford,12
NXB Thanh Hóa,12
集英社,12
E.Future,12
Nhà Xuất Bản Xây Dựng,11
Nhà Xuất Bản Lao Động Xã Hội,11
DK,11
Hodder & Stoughton,11
Nhà Xuất Bản Thể Dục - Thể Thao,11
Nhà Xuất Bản Thuận Hóa,11
Fourth Estate,11
Usborne,11
Scribner,11
Nhà Xuất Bản Tài Chính,11
Scholastic US,11
Pearson,11
NXB Đại Học Quốc Gia TP.HCM,11
nxb lao dong ha noi,10
W&N,10
Little Brown,10
Phương Nam Book,10
Hachette Book Group,10
Michael O'Mara,10
Ebury Publishing,10
Nhà Xuất Bản Công An Nhân Dân,10
Hachette UK,10
KADOKAWA,10
MCBOOKS,10
Tor Books,10
DK Children,10
Báo Sinh Viên Việt Nam - Hoa Học Trò,10
Vermilion,9
Welbeck Publishing Group,9
Harper,9
"Little, Brown & Company",9
Hamlyn,9
Nhà Xuất Bản Bách Khoa Hà Nội,9
Collins,9
Mariner Books,9
Atria Books,9
Brown Watson,9
Hodder Children's Books,9
Grand Central,9
William Morrow Paperbacks,9
Thames And Hudson,9
